Site ,Pollinator,Species,Family,Overview,Date,Group,comment
1,1,Empis tessellata,Empididae,Fly,28/05/2024,flower,
1,2,Helophilus pendulus,Syrphidae,Fly,28/05/2024,flower,
1,3,Temnostoma vespiforme,Syrphidae,Fly,28/05/2024,area,
1,4,NA,Andrenidae,Bee,28/05/2024,flower,
1,5,Pieris brassicae,Pieridae,Butterfly,28/05/2024,flower,
1,6,Eristalis sp,Syrphidae,Fly,28/05/2024,flower,
1,7,Eristalis sp,Syrphidae,Fly,28/05/2024,flower,
1,8,Dasytes niger,Melyridae,Beetle,28/05/2024,flower,
1,9,Apis mellifera,Apidae,Bee,28/05/2024,area,
1,10,Apis mellifera,Apidae,Bee,28/05/2024,area,
1,11,Stenurella melanura,Cerambycidae,Beetle,28/05/2024,flower,
1,12,Andrena sp,Andrenidae,Bee,28/05/2024,area,
1,13,Coenonympha pamphilus,Nymphalidae,Butterfly,28/05/2024,area,
1,14,Coenonympha pamphilus,Nymphalidae,Butterfly,28/05/2024,area,
1,15,NA,Syrphidae,Fly,28/05/2024,flower,escaped before it could be determined
1,16,Lasioglossum sp,Halictidae,Bee,19/06/2024,area,
1,17,Dasytes niger,Melyridae,Beetle,19/06/2024,flower,
1,18,Stenurella melanura,Cerambycidae,Beetle,19/06/2024,flower,
1,19,Stenurella melanura,Cerambycidae,Beetle,19/06/2024,flower,
1,20,Stenurella melanura,Cerambycidae,Beetle,19/06/2024,flower,
1,21,Stenurella melanura,Cerambycidae,Beetle,19/06/2024,flower,
1,22,Dasytes niger,Melyridae,Beetle,19/06/2024,flower,
1,23,Eupeodes corollae,Syrphidae,Fly,19/06/2024,area,
1,24,Eupeodes corollae,Syrphidae,Fly,19/06/2024,area,
1,25,Lasioglossum sp,Halictidae,Bee,19/06/2024,area,
1,26,Plebejus idas,Lycaenidae,Butterfly,19/06/2024,area,
1,27,Eupeodes corollae,Syrphidae,Fly,19/06/2024,area,
1,28,Lasioglossum sp,Halictidae,Bee,19/06/2024,area,
1,29,Plebejus idas,Lycaenidae,Butterfly,19/06/2024,area,
1,30,Plebejus idas,Lycaenidae,Butterfly,19/06/2024,area,
2,1,Merodon equestris,Syrphidae,Fly,04/06/2024,flower,
2,2,Eristalis sp,Syrphidae,Fly,04/06/2024,flower,
2,3,Eristalis sp,Syrphidae,Fly,04/06/2024,flower,
2,4,Hylaeus sp,Colletidae,Bee,04/06/2024,flower,
2,5,Melanostoma sp,Syrphidae,Fly,04/06/2024,area,
2,6,Bombus terrestris,Apidae,Bee,04/06/2024,area,
2,7,Eristalis sp,Syrphidae,Fly,04/06/2024,flower,
2,8,Megachile circumcincta,Megachilidae,Bee,04/06/2024,area,
2,9,Phyllopertha horticola,Scarabaeidae,Beetle,04/06/2024,area,
2,10,Eristalis sp,Syrphidae,Fly,04/06/2024,flower,
2,11,Merodon equestris,Syrphidae,Fly,04/06/2024,flower,
2,12,Eristalis sp,Syrphidae,Fly,04/06/2024,flower,
2,13,Eristalis sp,Syrphidae,Fly,04/06/2024,flower,
2,14,Eristalinus sepulchralis,Syrphidae,Fly,04/06/2024,flower,
2,15,Trachusa byssina,Megachilidae,Bee,04/06/2024,area,
2,16,Lasioglossum sp,Halictidae,Bee,04/06/2024,area,
2,17,Volucella pellucens,Syrphidae,Fly,04/06/2024,area,
2,18,Sphaerophoria sp,Syrphidae,Fly,04/06/2024,area,
2,19,Sphaerophoria sp,Syrphidae,Fly,04/06/2024,area,
2,20,Syrphus torva,Syrphidae,Fly,04/06/2024,area,
2,21,Eristalis sp,Syrphidae,Fly,19/06/2024,flower,
2,22,Eristalis sp,Syrphidae,Fly,19/06/2024,flower,
2,23,Eristalis sp,Syrphidae,Fly,19/06/2024,flower,
2,24,Sphecodes sp,Halictidae,Bee,19/06/2024,flower,
2,25,Eristalis sp,Syrphidae,Fly,19/06/2024,flower,
2,26,Nomada sp,Apidae,Bee,19/06/2024,area,
2,27,Bombus ruderarius,Apidae,Bee,19/06/2024,area,
2,28,Eupeodes corollae,Syrphidae,Fly,19/06/2024,area,
2,29,Lasioglossum sp,Halictidae,Bee,19/06/2024,area,
2,30,Platycheirus albimanus,Syrphidae,Fly,19/06/2024,area,
3,1,Empis tessellata,Empididae,Fly,04/06/2024,flower,
3,2,Empis tessellata,Empididae,Fly,04/06/2024,flower,
3,3,Stenurella melanura,Cerambycidae,Beetle,04/06/2024,flower,
3,4,Hemipenthes maura,Bombyliidae,Fly,04/06/2024,area,
3,5,Agrogorytes mystaceus,Crabronidae,Wasp,04/06/2024,area,
3,6,Chrysops caecatiens,Tabanidae,Fly,04/06/2024,area,
3,7,Apis mellifera,Apidae,Bee,04/06/2024,area,
3,8,Andrena sp,Andrenidae,Bee,04/06/2024,flower,
3,9,Empis tessellata,Empididae,Fly,04/06/2024,area,
3,10,Stenurella melanura,Cerambycidae,Beetle,04/06/2024,area,
3,11,Andrena sp,Andrenidae,Bee,04/06/2024,area,
3,12,Empis tessellata,Empididae,Fly,04/06/2024,flower,
3,13,Andrena sp,Andrenidae,Bee,04/06/2024,area,
3,14,Sphecodes sp,Halictidae,Bee,04/06/2024,area,
3,15,Dasytes niger,Melyridae,Beetle,04/06/2024,flower,
3,16,Dasytes niger,Melyridae,Beetle,04/06/2024,flower,
3,17,Andrena sp,Andrenidae,Bee,04/06/2024,area,
3,18,Nomada sp,Apidae,Bee,04/06/2024,flower,
3,19,Empis tessellata,Empididae,Fly,04/06/2024,flower,
3,20,Eristalis sp,Syrphidae,Fly,04/06/2024,flower,
3,21,Nomada sp,Apidae,Bee,19/06/2024,area,
3,22,Colletes sp,Colletidae,Bee,19/06/2024,area,
3,23,Oedemera sp,Oedemeridae,Beetle,19/06/2024,area,
3,24,Lasioglossum sp,Halictidae,Bee,19/06/2024,area,
3,25,Lasioglossum sp,Halictidae,Bee,19/06/2024,area,
4,1,Phyllopertha horticola,Scarabaeidae,Beetle,06/06/2024,area,
4,2,Dasytes niger,Melyridae,Beetle,06/06/2024,flower,
4,3,Dasytes niger,Melyridae,Beetle,06/06/2024,flower,
4,4,Lasioglossum sp,Halictidae,Bee,06/06/2024,area,
4,5,Eupeodes corollae,Syrphidae,Fly,06/06/2024,flower,
4,6,Ochlodes sylvanus,Hesperiidae,Butterfly,06/06/2024,area,
4,7,Stenurella melanura,Cerambycidae,Beetle,06/06/2024,flower,
4,8,Adscita statices,Zygaenidae,Butterfly,06/06/2024,flower,
4,9,Phyllopertha horticola,Scarabaeidae,Beetle,06/06/2024,area,
4,10,Phyllopertha horticola,Scarabaeidae,Beetle,06/06/2024,area,
4,11,Phyllopertha horticola,Scarabaeidae,Beetle,06/06/2024,area,
4,12,Dasytes niger,Melyridae,Beetle,06/06/2024,flower,
4,13,Lasioglossum sp,Halictidae,Bee,06/06/2024,flower,
4,14,Eristalis sp,Syrphidae,Fly,06/06/2024,flower,
4,15,Meligethes sp,Nitidulidae,Beetle,06/06/2024,flower,
4,16,Meligethes sp,Nitidulidae,Beetle,06/06/2024,flower,
4,17,Eristalis sp,Syrphidae,Fly,06/06/2024,flower,
4,18,Chelostoma florisomne,Megachilidae,Bee,06/06/2024,area,
4,19,Caliadurgus sp,Pompilidae,Wasp,06/06/2024,area,
4,20,Phyllopertha horticola,Scarabaeidae,Beetle,06/06/2024,area,
4,21,Dioctria atricapilla,Usilidae,Fly,06/06/2024,area,
4,22,Dasytes niger,Melyridae,Beetle,19/06/2024,flower,
4,23,Eupeodes corollae,Syrphidae,Fly,19/06/2024,area,
4,24,Stenurella melanura,Cerambycidae,Beetle,19/06/2024,flower,
4,25,Stenurella melanura,Cerambycidae,Beetle,19/06/2024,flower,
4,26,Oedemera sp,Oedemeridae,Beetle,19/06/2024,area,
4,27,Maniola jurtina,Nymphalidae,Butterfly,19/06/2024,area,
4,28,Maniola jurtina,Nymphalidae,Butterfly,19/06/2024,flower,
4,29,Lasioglossum sp,Halictidae,Bee,19/06/2024,area,
4,30,Lasioglossum sp,Halictidae,Bee,19/06/2024,area,
5,1,Apis mellifera,Apidae,Bee,30/05/2024,flower,
5,2,Eristalis sp,Syrphidae,Fly,30/05/2024,area,
5,3,Apis mellifera,Apidae,Bee,30/05/2024,flower,
5,4,Oedemera sp,Oedemeridae,Beetle,30/05/2024,flower,
5,5,Dasytes niger,Melyridae,Beetle,30/05/2024,flower,
5,6,NA,Cephidae,Sawfly,30/05/2024,flower,"very agile, got bad pictures, could not identify  well"
5,7,Eupeodes corollae,Syrphidae,Fly,30/05/2024,area,"probably, escaped soon"
5,8,Eupeodes corollae,Syrphidae,Fly,30/05/2024,area,
5,9,Oedemera sp,Oedemeridae,Beetle,30/05/2024,flower,
5,10,Oedemera sp,Oedemeridae,Beetle,30/05/2024,flower,
5,11,Dasytes niger,Melyridae,Beetle,30/05/2024,flower,
5,12,Apis mellifera,Apidae,Bee,30/05/2024,flower,
5,13,NA,Syrphidae,Fly,30/05/2024,flower,escaped before it could be determined
5,14,Apis mellifera,Apidae,Bee,30/05/2024,area,
5,15,Andrena sp,Andrenidae,Bee,30/05/2024,area,
5,16,Ochlodes sylvanus,Hesperiidae,Butterfly,30/05/2024,area,
5,17,Oedemera sp,Oedemeridae,Beetle,30/05/2024,area,
5,18,Sphaerophoria sp,Syrphidae,Fly,30/05/2024,area,
5,19,Sphaerophoria sp,Syrphidae,Fly,30/05/2024,area,
5,20,Oedemera sp,Oedemeridae,Beetle,30/05/2024,area,
5,21,Eupeodes corollae,Syrphidae,Fly,17/06/2024,area,
5,22,Meligethes sp,Nitidulidae,Beetle,17/06/2024,flower,
5,23,Eupeodes corollae,Syrphidae,Fly,17/06/2024,area,
5,24,Meligethes sp,Nitidulidae,Beetle,17/06/2024,flower,
5,25,Bombus pascuorum,Apidae,Bee,17/06/2024,area,
5,26,Oedemera sp,Oedemeridae,Beetle,17/06/2024,flower,
5,27,Eupeodes corollae,Syrphidae,Fly,17/06/2024,flower,
5,28,NA,Symphyta,Sawfly,17/06/2024,area,
5,29,Dasytes niger,Melyridae,Beetle,17/06/2024,flower,"no picture, phone battery empty"
5,30,Oedemera sp,Oedemeridae,Beetle,17/06/2024,area,"no picture, phone battery empty"
6,1,Eristalis sp,Syrphidae,Fly,30/05/2024,flower,
6,2,Eristalis sp,Syrphidae,Fly,30/05/2024,flower,
6,3,Eristalis sp,Syrphidae,Fly,30/05/2024,flower,
6,4,NA,Calliphoridae,Fly,30/05/2024,flower,
6,5,Eristalis sp,Syrphidae,Fly,30/05/2024,flower,
6,6,Pieris napi,Pieridae,Butterfly,30/05/2024,area,
6,7,Eristalis sp,Syrphidae,Fly,31/05/2024,flower,
6,8,Merodon equestris,Syrphidae,Fly,31/05/2024,flower,
6,9,Eristalis sp,Syrphidae,Fly,31/05/2024,flower,
6,10,Lasioglossum sp,Halictidae,Bee,31/05/2024,area,
6,11,Eristalis sp,Syrphidae,Fly,31/05/2024,area,
6,12,Lasioglossum sp,Halictidae,Bee,31/05/2024,area,
6,13,Andrena sp,Andrenidae,Bee,31/05/2024,flower,
6,14,Bombus rupestris,Apidae,Bee,31/05/2024,area,
6,15,Merodon equestris,Syrphidae,Fly,31/05/2024,area,
6,16,Zophomyia temula,Tachinidae,Fly,31/05/2024,area,
6,17,Eristalis sp,Syrphidae,Fly,31/05/2024,flower,
6,18,Helophilus trivittatus,Syrphidae,Fly,31/05/2024,area,
6,19,Lasioglossum sp,Halictidae,Bee,31/05/2024,area,
6,20,Helophilus pendulus,Syrphidae,Fly,31/05/2024,area,
6,21,Maniola jurtina,Nymphalidae,Butterfly,17/06/2024,area,
6,22,Coenonympha pamphilus,Nymphalidae,Butterfly,17/06/2024,area,
6,23,Plebejus idas,Lycaenidae,Butterfly,17/06/2024,flower,
6,24,Apis mellifera,Apidae,Bee,17/06/2024,area,
6,25,Meligethes sp,Nitidulidae,Beetle,17/06/2024,flower,
6,26,Meligethes sp,Nitidulidae,Beetle,17/06/2024,flower,
6,27,Meligethes sp,Nitidulidae,Beetle,17/06/2024,flower,
6,28,Plebejus idas,Lycaenidae,Butterfly,17/06/2024,area,
6,29,Apis mellifera,Apidae,Bee,17/06/2024,area,
6,30,Meligethes sp,Nitidulidae,Beetle,17/06/2024,flower,
7,1,Stenurella melanura,Cerambycidae,Beetle,31/05/2024,flower,
7,2,Dasytes niger,Melyridae,Beetle,31/05/2024,flower,
7,3,Stenurella melanura,Cerambycidae,Beetle,31/05/2024,flower,
7,4,Sphaerophoria sp,Syrphidae,Fly,31/05/2024,area,
7,5,Nomada sp,Apidae,Bee,31/05/2024,flower,
7,6,Nomada sp,Apidae,Bee,31/05/2024,flower,
7,7,Apis mellifera,Apidae,Bee,31/05/2024,flower,
7,8,Apis mellifera,Apidae,Bee,31/05/2024,area,
7,9,Stenurella melanura,Cerambycidae,Beetle,31/05/2024,flower,
7,10,Dasytes niger,Melyridae,Beetle,31/05/2024,flower,
7,11,Stenurella melanura,Cerambycidae,Beetle,31/05/2024,flower,
7,12,NA,Mordelidae,Beetle,31/05/2024,area,
7,13,Sphaerophoria sp,Syrphidae,Fly,31/05/2024,area,
7,14,Stenurella melanura,Cerambycidae,Beetle,31/05/2024,flower,
7,15,Apis mellifera,Apidae,Bee,31/05/2024,area,
7,16,Stenurella melanura,Cerambycidae,Beetle,31/05/2024,area,
7,17,Oedemera sp,Oedemeridae,Beetle,31/05/2024,area,
7,18,Bombus ruderarius,Apidae,Bee,31/05/2024,area,
7,19,Lasioglossum sp,Halictidae,Bee,31/05/2024,area,
7,20,Cantharis rustica,Cantharidae,Beetle,31/05/2024,area,
7,21,Bombus terrestris,Apidae,Bee,17/06/2024,area,
7,22,Meligethes sp,Nitidulidae,Beetle,17/06/2024,flower,
7,23,Apis mellifera,Apidae,Bee,17/06/2024,area,
7,24,Apis mellifera,Apidae,Bee,17/06/2024,area,
7,25,Apis mellifera,Apidae,Bee,17/06/2024,area,
7,26,Apis mellifera,Apidae,Bee,17/06/2024,area,
7,27,Meligethes sp,Nitidulidae,Beetle,17/06/2024,flower,
7,28,Meligethes sp,Nitidulidae,Beetle,17/06/2024,flower,
7,29,Meligethes sp,Nitidulidae,Beetle,17/06/2024,flower,
7,30,Meligethes sp,Nitidulidae,Beetle,17/06/2024,flower,
8,1,Lasioglossum sp,Halictidae,Bee,03/06/2024,flower,
8,2,Stenurella melanura,Cerambycidae,Beetle,03/06/2024,flower,
8,3,Helophilus pendulus,Syrphidae,Fly,03/06/2024,area,
8,4,Euclidia glyphica,Erebidae,Moth,03/06/2024,flower,
8,5,Empis tessellata,Empididae,Fly,03/06/2024,flower,
8,6,Eristalis sp,Syrphidae,Fly,03/06/2024,flower,
8,7,Eristalis sp,Syrphidae,Fly,03/06/2024,flower,
8,8,Stenurella melanura,Cerambycidae,Beetle,03/06/2024,flower,
8,9,Euclidia mi,Erebidae,Moth,03/06/2024,area,
8,10,Eupeodes corollae,Syrphidae,Fly,03/06/2024,area,
8,11,Scopula immorata,Geometridae,Butterfly,03/06/2024,area,
8,12,Empis tessellata,Empididae,Fly,03/06/2024,area,
8,13,Eristalis sp,Syrphidae,Fly,03/06/2024,flower,
8,14,Eristalis sp,Syrphidae,Fly,03/06/2024,flower,
8,15,Helophilus pendulus,Syrphidae,Fly,03/06/2024,flower,
8,16,Chrysotoxum festium,Syrphidae,Fly,03/06/2024,area,
8,17,Zophomyia temula,Tachinidae,Fly,03/06/2024,area,
8,18,Melanogaster hirtella,Syrphidae,Fly,03/06/2024,area,
8,19,Calamenta filiformis,Cephidae,Sawfly,03/06/2024,area,
8,20,Agrogorytes mystaceus,Crabronidae,Wasp,03/06/2024,area,
8,21,Myathropa florea,Syrphidae,Fly,17/06/2024,area,
8,22,Empis livida,Empididae,Fly,17/06/2024,flower,
8,23,Stenurella melanura,Cerambycidae,Beetle,17/06/2024,flower,
8,24,Stenurella melanura,Cerambycidae,Beetle,17/06/2024,flower,
8,25,Eupeodes corollae,Syrphidae,Fly,17/06/2024,area,
8,26,Lasioglossum sp,Halictidae,Bee,17/06/2024,area,
8,27,Eupeodes corollae,Syrphidae,Fly,17/06/2024,area,
8,28,Eupeodes corollae,Syrphidae,Fly,17/06/2024,area,
8,29,Empis livida,Empididae,Fly,17/06/2024,flower,
8,30,Empis livida,Empididae,Fly,17/06/2024,flower,
9,1,Alosterna tabacicolor,Cerambycidae,Beetle,03/06/2024,flower,
9,2,Stenurella melanura,Cerambycidae,Beetle,03/06/2024,flower,
9,3,Bombus ruderarius,Apidae,Bee,03/06/2024,area,
9,4,Lasioglossum sp,Halictidae,Bee,03/06/2024,area,
9,5,NA,NA,Moth,03/06/2024,area,escaped before determination
9,6,Bombus ruderarius,Apidae,Bee,03/06/2024,area,
9,7,Bombus ruderarius,Apidae,Bee,03/06/2024,area,
9,8,Coenonympha pamphilus,Nymphalidae,Butterfly,03/06/2024,area,
9,9,Apis mellifera,Apidae,Bee,03/06/2024,area,
9,10,Bombus pascuorum,Apidae,Bee,03/06/2024,area,
9,11,Apis mellifera,Apidae,Bee,03/06/2024,area,
9,12,Bombus ruderarius,Apidae,Bee,03/06/2024,area,
9,13,Dasytes niger,Melyridae,Beetle,03/06/2024,flower,
9,14,NA,Empididae,Fly,03/06/2024,flower,Empididae? Muscidae?
9,15,Oedemera sp,Oedemeridae,Beetle,03/06/2024,flower,
9,16,Dasytes niger,Melyridae,Beetle,03/06/2024,flower,
9,17,NA,Empididae,Fly,03/06/2024,flower,Empididae? Muscidae?
9,18,NA,Empididae,Fly,03/06/2024,flower,Empididae? Muscidae?
9,19,Dasytes niger,Melyridae,Beetle,03/06/2024,flower,
9,20,NA,Empididae,Fly,03/06/2024,flower,Empididae? Muscidae?
9,21,Eupeodes corollae,Syrphidae,Fly,17/06/2024,area,
9,22,Apis mellifera,Apidae,Bee,17/06/2024,area,
9,23,Apis mellifera,Apidae,Bee,17/06/2024,area,
9,24,Meligethes sp ,Nitidulidae,Beetle,17/06/2024,flower,
9,25,Bombus terrestris,Apidae,Bee,17/06/2024,area,
9,26,Meligethes sp,Nitidulidae,Beetle,17/06/2024,flower,
9,27,Apis mellifera,Apidae,Bee,17/06/2024,area,
9,28,Meligethes sp,Nitidulidae,Beetle,17/06/2024,flower,
9,29,Meligethes sp,Nitidulidae,Beetle,17/06/2024,flower,
9,30,Meligethes sp,Nitidulidae,Beetle,17/06/2024,flower,
10,1,Empis livida,Empididae,Fly,05/06/2024,flower,
10,2,Oedemera sp,Oedemeridae,Beetle,05/06/2024,flower,
10,3,Bombus ruderarius,Apidae,Bee,05/06/2024,area,
10,4,Lasioglossum sp,Halictidae,Bee,05/06/2024,area,
10,5,Empis livida,Empididae,Fly,05/06/2024,flower,
10,6,Eristalis sp,Syrphidae,Fly,05/06/2024,flower,
10,7,Bombus sylvarum,Apidae,Bee,05/06/2024,area,
10,8,Coenonympha pamphilus,Nymphalidae,Butterfly,05/06/2024,area,
10,9,Oedemera sp,Oedemeridae,Beetle,05/06/2024,flower,
10,10,NA,Curculionidae,Beetle,05/06/2024,flower,
10,11,Lucilia sp,Calliphoridae,Fly,05/06/2024,flower,
10,12,Andrena sp,Andrenidae,Bee,05/06/2024,flower,
10,13,Eupeodes corollae,Syrphidae,Fly,05/06/2024,area,
10,14,Ochlodes sylvanus,Hesperiidae,Butterfly,05/06/2024,area,
10,15,Sphaerophoria sp,Syrphidae,Fly,05/06/2024,area,
10,16,Eupeodes corollae,Syrphidae,Fly,05/06/2024,flower,
10,17,Apis mellifera,Apidae,Bee,05/06/2024,flower,
10,18,Empis livida,Empididae,Fly,05/06/2024,flower,
10,19,Sphaerophoria sp,Syrphidae,Fly,05/06/2024,area,
10,20,Sphaerophoria sp,Syrphidae,Fly,05/06/2024,area,
10,21,Sphaerophoria sp,Syrphidae,Fly,05/06/2024,area,
10,22,Andrena sp,Andrenidae,Bee,05/06/2024,flower,
11,1,Empis livida,Empididae,Fly,07/06/2024,flower,
11,2,Eristalis sp,Syrphidae,Fly,07/06/2024,flower,
11,3,Empis livida,Empididae,Fly,07/06/2024,flower,
11,4,Eristalis sp,Syrphidae,Fly,07/06/2024,flower,
11,5,Phyllopertha horticola,Scarabaeidae,Beetle,07/06/2024,flower,
11,6,Bombus terrestris,Apidae,Bee,07/06/2024,flower,
